2019-09-19 11:07:53,298 - INFO - Start running, host: ubuntu@ubun, work_dir: /home/ubuntu/suliang_git/deep_learning_algorithm/v0.1/work_dirs/ssd300_voc
2019-09-19 11:07:53,300 - INFO - workflow: [('train', 1)], max: 24 epochs
2019-09-19 11:12:35,552 - INFO - Start running, host: ubuntu@ubun, work_dir: /home/ubuntu/suliang_git/deep_learning_algorithm/v0.1/work_dirs/ssd300_voc
2019-09-19 11:12:35,762 - INFO - workflow: [('train', 1)], max: 24 epochs
2019-09-19 11:21:03,441 - INFO - Start running, host: ubuntu@ubun, work_dir: /home/ubuntu/suliang_git/deep_learning_algorithm/v0.1/work_dirs/ssd300_voc
2019-09-19 11:21:03,442 - INFO - workflow: [('train', 1)], max: 24 epochs
2019-09-19 11:32:03,902 - INFO - Start running, host: ubuntu@ubun, work_dir: /home/ubuntu/suliang_git/deep_learning_algorithm/v0.1/work_dirs/ssd300_voc
2019-09-19 11:32:03,903 - INFO - workflow: [('train', 1)], max: 24 epochs
2019-09-19 11:36:31,359 - INFO - Start running, host: ubuntu@ubun, work_dir: /home/ubuntu/suliang_git/deep_learning_algorithm/v0.1/work_dirs/ssd300_voc
2019-09-19 11:36:31,360 - INFO - workflow: [('train', 1)], max: 24 epochs
2019-09-19 11:37:20,634 - INFO - Start running, host: ubuntu@ubun, work_dir: /home/ubuntu/suliang_git/deep_learning_algorithm/v0.1/work_dirs/ssd300_voc
2019-09-19 11:37:20,635 - INFO - workflow: [('train', 1)], max: 24 epochs
2019-09-19 11:39:13,108 - INFO - Start running, host: ubuntu@ubun, work_dir: /home/ubuntu/suliang_git/deep_learning_algorithm/v0.1/work_dirs/ssd300_voc
2019-09-19 11:39:13,109 - INFO - workflow: [('train', 1)], max: 24 epochs
2019-09-19 11:41:12,262 - INFO - Start running, host: ubuntu@ubun, work_dir: /home/ubuntu/suliang_git/deep_learning_algorithm/v0.1/work_dirs/ssd300_voc
2019-09-19 11:41:12,263 - INFO - workflow: [('train', 1)], max: 24 epochs
2019-09-19 11:43:41,368 - INFO - Start running, host: ubuntu@ubun, work_dir: /home/ubuntu/suliang_git/deep_learning_algorithm/v0.1/work_dirs/ssd300_voc
2019-09-19 11:43:41,369 - INFO - workflow: [('train', 1)], max: 24 epochs
